TieuDe,Gia,DienTich,GiaTrenM2,PhongNgu,WC,Quan,TinhThanh
"Bán nhà đất tại Văn Cao, Tây Hồ giá chỉ 11,7 tỷ, 30,2m2, nhiều tiện ích, kinh doanh sầm uất",11.7,30.2,387.42,,,Tây Hồ,Hà Nội
BÁN NHÀ TƯ ĐÌNH 64M x 5 TẦNG Ô TÔ VÀO NHÀ GIÁ NHỈNH 16 TỶ,16.6,64.0,259.38,4,4,Long Biên,Hà Nội
"Bán nhà Hồ Đầm Tròn 135 Đội Cấn, sát Lăng Bác, công viên Bách Thảo nhà mới tinh xem là chốt ngay!",7.99,35.0,228.29,4,3,Ba Đình,Hà Nội
"Chính chủ gửi bán gấp nhà, đường Dương Đình Hội, Phước Long B, TP. Thủ Đức, 4,2 x 16, 4,7 tỷ, SH",4.7,67.0,70.15,2,1,Quận 9,Hồ Chí Minh
Nhà đẹp - sát Nguyễn Sơn - Tân Phú - gần 40m2 (ngang 4.1) - 1 Tầng - 2 PN - Sổ Vuông - Giá 4.2 tỷ,4.2,40.0,105.0,2,2,Tân Phú,Hồ Chí Minh
"Hạ sốc 3 tỷ! 125m2x7T thang máy, gara 2 ôtô - MT 6m - siêu dòng tiền 1 tỷ/năm Ngọc Thụy Long Biên",26.5,125.0,212.0,8,,Long Biên,Hà Nội
"Nhà đẹp ở ngay, chính chủ bán 2 tài sản, công chứng liền tay, Bàu Cát Ba Vân Âu Cơ 1 tỷ 460 triệu",1.46,12.0,121.67,,,Tân Bình,Hồ Chí Minh
Quận 3 Nhà Có dòng tiền ổn định giá tốt HXH 5 Tầng 8pn,13.5,75.0,180.0,8,9,Quận 3,Hồ Chí Minh
"Siêu đẹp! Bán nhà Hoàng Quốc Việt, cầu Giấy, đường oto tránh, gara oto, 2 mặt thoáng, 68m, 5T",24.0,68.0,352.94,6,6,Cầu Giấy,Hà Nội
"Chính chủ cần bán nhà ở khu tái định cư Phú Diễn, Bắc Từ Liêm, Hà Nội, DT 93,0m2, giá 42 tỷ",42.0,93.0,451.61,,,Bắc Từ Liêm,Hà Nội
Bán nhà 1 trệt 1 lầu tại hẻm Nguyễn Biển phường vĩnh Hải ngang 7 m9 diện tích 156 m giá 55 tr/ m2,8.6,156.2,55.06,3,3,Nha Trang,Khánh Hòa
"Bán Nhà và cho thuê 443/22 Lê Văn Sỹ, Q3, DT 3,8x12m nhà 1 lầu giá thuê 22 tr/th, giá bán 10,5 tỷ",10.5,50.0,210.0,,,Quận 3,Hồ Chí Minh
"Bán nhà riêng chính chủ tại Hà Bổng, Sơn Trà, Đà Nẵng, 96m2. 6,5 tỷ",6.6,96.0,68.75,3,2,Sơn Trà,Đà Nẵng
"Bán nhà 17 ngõ 63 Lương Yên, P Bạch Đằng, Hai Bà Trưng, mặt phố kinh doanh",7.8,25.0,312.0,3,3,Hai Bà Trưng,Hà Nội
"CHÍNH CHỦ BÁN NHÀ NGÕ 99 NGUYỄN CHÍ THANH, Ô TÔ TRÁNH, ĐỖ TRONG NHÀ, CÓ GARA, 6 TẦNG, 10 PHÒNG NGỦ",17.95,40.0,448.75,10,5,Đống Đa,Hà Nội
HẺM XE HƠI NGUYỄN TRI PHƯƠNG - 3 TẦNG 46M2 NỞ HẬU TÀI LỘC HIẾM CÓ TRÊN THỊ TRƯỜNG NHỈNH 10 TỶ,10.5,46.0,228.26,3,3,Quận 10,Hồ Chí Minh
"Bán nhà 2 mặt tiền hẻm 2m Phạm Thế Hiển P6, Q8 giá 6,5 tỷ",6.5,289.7,22.44,8,8,Quận 8,Hồ Chí Minh
"Gấp trả nợ ngân hàng bán cắt lỗ nhà hàng tại Bãi Cháy, Hạ Long đang cho thuê 35tr/th",20.9,180.0,116.11,,,Hạ Long,Quảng Ninh
"Nhà đẹp kiên cố 5 tầng, hẻm rộng thoáng, diện tích 82m2, Lý Thường Kiệt, Tân Bình, giá tốt 16,5 tỷ.",16.5,80.0,206.25,5,5,Tân Bình,Hồ Chí Minh
Chính chủ cần bán nhà dạng biệt thự HXM Võ Thị Sáu Quận 3. DT 399m2. Đầy đủ nội thất,45.0,399.0,112.78,7,7,Quận 3,Hồ Chí Minh
Phố Thọ Lão - Lò Đúc - ôtô đỗ cửa 24/7 - 30m2 - tập thể tầng 1 kinh doanh - cho thuê 10tr - SĐCC,3.95,30.0,131.67,1,1,Hai Bà Trưng,Hà Nội
"Bán NR 2 tầng tại Đường 6, Hiệp Bình Phước, Thủ Đức, 6,8 tỷ, 96,8m2, Hot!",6.8,96.8,70.25,,,Thủ Đức,Hồ Chí Minh
"Bán nhà ngã 3 Hào Nam - Hoàng Cầu nhà ngõ nông, hai mặt thoáng, sân để 10 xe, nhà xây tâm huyết đẹp",7.7,50.0,154.0,3,3,Đống Đa,Hà Nội
"Siêu sao! Phân lô Nguyên Hồng, view sân chơi, ô tô tránh dừng đỗ, 8T thang máy, kinh doanh đỉnh nóc",19.8,60.0,330.0,8,7,Đống Đa,Hà Nội
"Bán nhà mặt phố ôtô tránh + mặt ngõ ôtô, Bờ Sông Sét, Giáp Nhị, Hoàng Mai, DT: 25m2, MT 4m, 1.25 tỷ",1.25,25.0,50.0,2,1,Hoàng Mai,Hà Nội
"Bán nhà cho thuê dòng tiền ổn định Ngã Tư Sở, Thanh Xuân 18,8 tỷ",18.8,70.0,268.57,21,21,Thanh Xuân,Hà Nội
Bán tòa CCMN Mễ Trì Thượng 62m2 x 8 tầng - 13 căn hộ 1PK 1N-30m ra đường ô to| Dòng tiền 80tr/tháng,13.89,60.0,231.5,13,13,Nam Từ Liêm,Hà Nội
Tuyệt phẩm đẹp lung linh 3 lầu (4mx12m=48m2 vuông vức) mới 100% hẻm xe hơi khu VIP Hồ Xuân Hương,9.95,48.0,207.29,5,4,Bình Thạnh,Hồ Chí Minh
Dãy nhà phố cực đẹp ngay cổng Vạn Phúc City - đường 10 mét có vỉa hè,7.0,80.0,87.5,6,6,Thủ Đức,Hồ Chí Minh
"Bán căn góc 7 tầng tại Yên Lãng, Đống Đa. DT 56.7m2 x MT 10m. Thông sàn, gara ô tô - thang máy",29.5,56.7,520.28,4,6,Đống Đa,Hà Nội
"HOT! LÁNG HẠ ĐỐNG ĐA, PHÂN LÔ GARA Ô TÔ, KINH DOANH, 7 TẦNG THANG MÁY 50M2*7T*4M MT",17.2,50.0,344.0,3,4,Đống Đa,Hà Nội
Chính chủ bán gấp căn Đội Cấn 6 tầng thang máy ngõ nông tại trung tâm quận Ba Đình miễn tiếp MG,7.4,40.0,185.0,4,5,Ba Đình,Hà Nội
"2 MT Nhà Hẻm 10m P.Bến Nghé Quận 1 Đường Nguyễn Bỉnh Khiêm - DT: 5x20m CN:98m2 Giá 33,5 Tỷ",33.5,98.0,341.84,3,3,Quận 1,Hồ Chí Minh
"12tỷ9 TL Nhà 5 lầu 73,8m2 căn góc 2MT HXH 6m 7PN, địa chỉ 159/45 Đ. Bạch Đằng, P2, Q. Tân Bình",12.9,73.8,174.8,7,7,Tân Bình,Hồ Chí Minh
"Bán NR tại Ni Sư Huỳnh Liên, 5,8 tỷ, 63m2, hàng hot uy tín",5.8,63.0,92.06,,,Tân Bình,Hồ Chí Minh
"Bán nhà 7 tầng thang máy - khu phân lô quân đội 918, cạnh sân golf Long Biên, 50m2. Lô góc, vỉa hè",16.3,50.0,326.0,5,,Long Biên,Hà Nội
Bán nhà đẹp mới xây 4 tầng Quận 2 Thảo Điền yên tĩnh nghỉ dưỡng,26.0,117.0,222.22,6,6,Quận 2,Hồ Chí Minh
"Chính chủ giảm giá sâu bán nhà riêng, sân để xe 7 chỗ, sổ hồng, hẻm xe tải, LH 0981 932 ***",6.15,101.0,60.89,4,4,Thủ Đức,Hồ Chí Minh
"Chính chủ bán nhà 2.5 tầng kiên cố tại Ngự Câu, An Thượng, Hoài Đức, Hà Nội gần KĐT, giá chỉ 1.9 tỷ",1.9,83.0,22.89,2,2,Hoài Đức,Hà Nội
"BÁN NHÀ NGỌC LÂM, NHÀ MỚI LÔ GÓC, 1 NHÀ RA PHỐ, 40M2, 7,9TỶ",7.9,40.0,197.5,,,Long Biên,Hà Nội
"Chính chủ cần bán nhà 2 tầng 50m2 thoáng đẹp tại An Khê khu vực sầm uất Thanh Khê, Đà Nẵng",2.35,50.0,47.0,2,2,Thanh Khê,Đà Nẵng
Bán nhà 3 Tầng 123/87 Cù Chính Lan ( Đi 282 Hà Huy Tập vào ) Quận Thanh Khê Đà Nẵng,5.95,70.0,85.0,3,4,Thanh Khê,Đà Nẵng
"Bán nhà chính chủ tại đường Phan Đình Giót, Thanh Xuân 48m2, cho thuê 65 triệu/th, giá chỉ 11.65 tỷ",11.65,48.0,242.71,10,,Thanh Xuân,Hà Nội
"Bán nhà phố Trần Thái Tông, Trương Công Giai, kinh doanh, 3 ô tô tránh, lô góc, vỉa hè. 55m2*6T",21.0,56.0,375.0,6,6,Cầu Giấy,Hà Nội
CHÍNH CHỦ CẦN BÁN NHÀ PHỐ TÂN BÌNH - CHỈ BÁN CHO NGƯỜI Ở THỰC,6.7,54.88,122.08,1,2,Tân Bình,Hồ Chí Minh
"Bán nhà đường Số 3, P. Bình Hưng Hòa gần Aeon Tân Phú (1 trệt, 1 lầu), DT đất: 88m2",5.65,88.0,64.2,4,2,Bình Tân,Hồ Chí Minh
Bán nhà ngõ 221 phố Tôn Đức Thắng quận Đống Đa. Ngõ ô tô rất gần phố nhà dân xây sổ đỏ giá tốt,6.34,24.0,264.17,3,3,Đống Đa,Hà Nội
"Siêu phẩm nhà VIP Hương Lộ 2, thang máy 450kg, 5 tầng, 4x20m, hẻm đẹp 6m, cách ngã 4 xã chỉ 1km",8.15,80.0,101.88,6,5,Bình Tân,Hồ Chí Minh
"Chủ cần bán gấp nên hạ chào hơn 2 tỷ cho căn nhà ngõ kinh doanh ô tô tránh, DT 50m2, 3T, MT 4,6m",19.38,50.0,387.6,4,3,Cầu Giấy,Hà Nội
Bán nhà 6 tầng Thạch Bàn - Long Biên nhỉnh 5 tỷ,5.7,34.0,167.65,4,,Long Biên,Hà Nội
"BÁN NHÀ LIÊN PHƯỜNG, 3 TẦNG, GÓC 3 MẶT TIỀN, 83,3m2 SỔ HỒNG. GẦN GLOBAL CITY TP.THỦ ĐỨC",8.3,83.3,99.64,5,3,Quận 9,Hồ Chí Minh
"Bán nhà Vạn Phúc, DT 40m x 5 tầng thang máy, oto vào nhà, 2 mặt thoáng, ngay khu Him Lam Vạn Phúc",10.0,40.0,250.0,,,Hà Đông,Hà Nội
"Bán rẻ nhà cạnh VinHomes Tp. Thủ Đức, 102m2, sổ hồng, giá 2,9 tỷ",2.9,102.0,28.43,4,1,Quận 9,Hồ Chí Minh
"Bán Nhà 5 Tầng dòng tiền cực tốt ngang 5m, 80m2 Vũ Tùng, Bình Thạnh, 45 triệu/th, giá chỉ 13,9 tỷ",13.9,80.0,173.75,9,,Bình Thạnh,Hồ Chí Minh
"Đẹp xỉu! PL 34 Nguyên Hồng, ô tô tránh, vỉa hè, sát phố, kinh doanh, VP, ở ngon 71m2 * 5T x 5.5m MT",28.0,71.0,394.37,4,3,Đống Đa,Hà Nội
Căn nhà vườn sẵn hồ cá. Giá mềm nhũn,2.1,2.0,1.05,1,1,Trảng Bom,Đồng Nai
"Tạ Quang Bửu+thang máy+22P khép kín full NT-PCCC đạt chuẩn-doanh thu 150tr/th-DT 102m-MT 5,8m*24,7T",24.7,100.0,247.0,22,22,Hai Bà Trưng,Hà Nội
"BÁN NHÀ GÓC 2 MẶT TIỀN HẺM XE HƠI NGUYỄN VĂN ĐẬU, P11, BÌNH THẠNH GIÁ CHỈ 14.5 TỶ LH 0943 653 ***",14.5,108.0,134.26,5,7,Bình Thạnh,Hồ Chí Minh
CHỈ HƠN 5 TỶ MUA NHÀ MỚI TINH HÀNG XÓM NGỌC LÂM PHỐ - FULL NỘI THẤT CAO CẤP - 6 TẦNG - OTO SÁT NHÀ,5.95,30.0,198.33,4,5,Long Biên,Hà Nội
"MỚI TINH! HỒ BA MẪU ĐỐNG ĐA, 7 TẦNG THANG MÁY, FULL NỘI THẤT, NGÕ THÔNG, KD,38M*7T*3,6M MT",8.5,38.0,223.68,3,4,Đống Đa,Hà Nội
Siêu rẻ bán nhà phân lô Ngã Tư Sở vừa ở vừa làm VP 6 tầng thang máy 63m x 7t gara oto 7 chỗ 2 cái,18.8,63.0,298.41,7,5,Thanh Xuân,Hà Nội
"bán nhà mới xây dựng ,có tặng nội thất ,DT 50m2/5ty5 2 lầu 1 trệt, Nguyễn Thị Tí, sổ hồng riêng",5.4,50.0,108.0,4,3,Bình Tân,Hồ Chí Minh
"Biệt thự thiết kế tân cổ điển, full nội thất cao cấp xe hơi đổ trong nhà khu VIP Phạm Văn Hai",11.5,63.0,182.54,4,5,Tân Bình,Hồ Chí Minh
"Bán CHDV tại Bình Trị Đông, Bình Tân, đầu tư một lần, thu lời dài hạn 8%/năm, 50 phòng, 38 tỷ",38.0,350.0,108.57,50,50,Bình Tân,Hồ Chí Minh
Bán nhà riêng XVNT P26 Bình Thạnh Tp HCM. DT 68m2. DTSD 240m2,12.2,68.0,179.41,5,6,Bình Thạnh,Hồ Chí Minh
"Tôi cần bán gấp nhà mặt phố Lý Thường Kiệt, Trung tâm Q. Hà Đông 36m2, 9,9 tỷ. LH: 0944 223 ***",9.9,36.0,275.0,,,Hà Đông,Hà Nội
"Bán nhà phố Hồng Tiến, DT 40m2 * m tiền 4.65m * 6 tầng thang máy, sau 1 nhà ra mặt phố kinh doanh",8.95,40.0,223.75,3,5,Long Biên,Hà Nội
"Tuyệt phẩm đẹp lung linh biệt thự mini 3 lầu, sân thượng, 4 phòng ngủ khu cao cấp Thích Quảng Đức",7.5,40.0,187.5,4,5,Phú Nhuận,Hồ Chí Minh
"Bán nhà đẹp 1 trệt 2 lầu, hẻm nhựa 6m Ngô Chí Quốc, Bình Chiểu, Thủ Đức 72m2 giá tốt",5.5,72.0,76.39,3,4,Thủ Đức,Hồ Chí Minh
"Bán gấp căn nhà Hoàng Cầu ô tô đỗ cửa full nội thất nhập khẩu , nhà 2 mặt ngõ 40m*5t vừa ở vừa KD",11.8,40.0,295.0,3,4,Đống Đa,Hà Nội
"Cần nhà đất 2 sổ riêng tại Thủ Dầu Một 1.066m2 có nhà lầu + nhà cấp 4, mặt tiền 18.5m, pháp lý ch",11.5,1.066,10.79,6,3,Thủ Dầu Một,Bình Dương
"Bán nhà ngõ 68 Cầu Giấy 70m2, giá 12.99 tỷ dân xây chắc chắn 4 tầng 50m ra mặt phố",12.99,70.0,185.57,4,5,Cầu Giấy,Hà Nội
"CHDV 180m2 7 tầng ngay Giải Phóng - mặt phố 35 căn hộ khép kín - PCCC xịn, thoát hiểm đầy đủ",36.5,180.0,202.78,35,35,Hoàng Mai,Hà Nội
"Chính chủ cần bán biệt thự diện tích 736m2 tại Ao Đôi, Bình Trị Đông A, Bình Tân giá 55 tỷ",55.0,736.0,74.73,5,4,Bình Tân,Hồ Chí Minh
"Chính chủ cần bán nhà riêng mới xây 6 tầng DT 52,5m2 full nội thất ở Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",12.8,52.5,243.81,6,,Bắc Từ Liêm,Hà Nội
"Hot.Nhà Góc 2 Mặt tiền, Hàng hiếm Ngang 9 m, dài 22 m Quận Phú Nhuận,Diện tích 192,9m2, 30 tỷ",30.0,200.0,150.0,4,3,Phú Nhuận,Hồ Chí Minh
"Nhà chính chủ bán gấp - 25/5 Nguyễn Hậu, P. Tân Thành, Q. Tân Phú, HCM, 8mx14m (4 lầu), giá 17,6 tỷ",17.6,112.0,157.14,6,6,Tân Phú,Hồ Chí Minh
Bán nhà riêng dân xây 80m2 khu vực vip trung tâm Cầu Giấy,15.0,80.0,187.5,4,4,Cầu Giấy,Hà Nội
