Tiêu đề,Giá,Diện tích,Giá/m²,Phòng ngủ,WC,Địa điểm
"BÁN GẤP CĂN NHÀ 73,7 M2, CHÍNH CHỦ TẠI NGUYỄN THỊ THẬP Q7 GIÁ 2TY390, NHÀ ĐANG CHO THUÊ 15TR/TH","2,39 tỷ","73,7 m²","32,43 tr/m²",4 Phòng ngủ,5 WC,·
BÁN NHÀ HOÀNG MAI_ 50M2_MT 4.2M_NGÕ Ô TÔ VÀO NHÀ_THANG MÁY XỊN SÒ_19.2 TỶ,"19,2 tỷ",50 m²,384 tr/m²,,,·
"CỰC HIẾM- BÁN NHÀ PHỐ VŨ TÔNG PHAN- Ô TÔ- THANG MÁY - 39 M, NHỈNH 8 TỶ","8,5 tỷ",39 m²,"217,95 tr/m²",,,·
"TÔI CHÍNH CHỦ BÁN GẤP NHÀ TRỆT HẺM ĐƯỜNG CMT8, P11, QUẬN 3, SỔ HỒNG CÔNG NHẬN 82M2 ĐẤT","9,2 tỷ",82 m²,"112,2 tr/m²",2 Phòng ngủ,2 WC,·
CHÍNH CHỦ CẦN BÁN GẤP - SIÊU PHẨM NHÀ PHỐ - 4M X 18M -ĐƯỜNG NHỰA TRƯỚC NHÀ 7M THÔNG TIỆN KINH DOANH,"5,65 tỷ",72 m²,"78,47 tr/m²",5 Phòng ngủ,6 WC,·
"NHÀ CHÍNH CHỦ 5 TẦNG THANG MÁY TẠI LÝ SƠN, LONG BIÊN, HÀ NỘI DT 100.4M², GIÁ 19.9 TỶ CÓ GIA LỘC","19,9 tỷ","100,4 m²","198,21 tr/m²",,,·
"BÁN NHÀ TRUNG TÂM PHỐ ĐÀO TẤN GẦN LOTTE, HỒ TÂY 109M, CHỈ 21 TỶ (THƯƠNG LƯỢNG)",21 tỷ,"94,3 m²","222,69 tr/m²",3 Phòng ngủ,3 WC,·
"BÁN NHÀ VĨNH TUY, 95M2, MT 7.5M, Ô TÔ VÀO NHÀ, GIÁ 28.5 TỶ","28,5 tỷ",95 m²,300 tr/m²,8 Phòng ngủ,,·
"BÁN NHÀ HẺM 105 VƯỜN LÀI, AN PHÚ ĐÔNG, Q.12, HCM.","4,85 tỷ","53,3 m²","90,99 tr/m²",2 Phòng ngủ,2 WC,·
"BÁN NHÀ TẠ QUANG BỬU, 79M2, NỞ HẬU, Ô TÔ ĐỖ CỬA, GIÁ 22.3 TỶ","22,3 tỷ",79 m²,"282,28 tr/m²",,3 WC,·
"BÁN NHÀ CĂN HỘ DÒNG TIỀN TẠ QUANG BỬU, 90M2, MT 5M, THANG MÁY, GIÁ 25 TỶ",25 tỷ,90 m²,"277,78 tr/m²",,,·
BÁN NHÀ - VĂN PHÒNG HẺM XE HƠI LÔ GÓC ĐẸP DIỆN TÍCH KHỦNG TRỊNH ĐÌNH TRỌNG TÂN PHÚ,"11,8 tỷ",140 m²,"84,29 tr/m²",2 Phòng ngủ,2 WC,·
"CHÍNH CHỦ BÁN NHÀ RIÊNG ĐÀO TẤN, 7 TẦNG THANG MÁY, CÁCH MẶT PHỐ 10M, 10 PHÒNG CHO THUÊ FULL 65TR/TH","12,9 tỷ",42 m²,"307,14 tr/m²",10 Phòng ngủ,,·
"BÁN NHÀ KPL PHỐ TÂN MAI, HỒ ĐỀN LỪ. 75M2 XÂY MỚI 7 TẦNG. NHÀ 2 MẶT THOÁNG. 3 ÔTÔ ĐỖ CỬA. KINH DOANH",25 tỷ,75 m²,"333,33 tr/m²",5 Phòng ngủ,8 WC,·
"SIÊU PHẨM ĐẦU TƯ NHÀ ĐẤT THỦ ĐỨC 750M2, MT 23M THU NHẬP HƠN 40/THÁNG - GIẢM NGAY 2 TỶ GD NGAY",18 tỷ,750 m²,24 tr/m²,15 Phòng ngủ,,·
"MUA BÁN NHÀ ĐẤT LÒ LU, TRƯỜNG THẠNH_QUẬN 9_NHÀ 3 TẦNG, HOÀN CÔNG ĐỦ 60,4 m2_giá chỉ 5,6 tỷ","5,6 tỷ","60,4 m²","92,72 tr/m²",4 Phòng ngủ,3 WC,"Quận 9, Hồ Chí Minh"
"Bán Nhà Vạn Phúc Kinh Doanh, ÔTÔ tránh nhau- Ngay Bưu Điện Hà Đông- MT 5,5m ,giá 12ty2","12,2 tỷ",50 m²,244 tr/m²,5 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
"BÁN NHÀ PHỐ NGHI TÀM, TÂY HỒ, PHÂN LÔ, 100M2, 5TẦNG, OTO TRÁNH, FULL NỘI THẤT INDOCHINE Ở NGAY 35Tỷ",35 tỷ,100 m²,350 tr/m²,3 Phòng ngủ,5 WC,"Tây Hồ, Hà Nội"
"Chính Chủ Bán Nhà Trệt- Lầu P. Tân Bình, Tp. Dĩ An. DT: 106M2. Gồm 3 PN- 2WC. Sân ô tô.Giá: 3.95 Tỷ","3,95 tỷ",106 m²,"37,26 tr/m²",3 Phòng ngủ,2 WC,"Dĩ An, Bình Dương"
"CHÚ Ý! Chính chủ cần bán GẤP nhà riêng tại Cầu Diễn, DT 51m2, MT 6m, hai mặt thoáng, chỉ 7,x tỷ","7,5 tỷ",51 m²,"147,06 tr/m²",,,"Bắc Từ Liêm, Hà Nội"
Siêu Phẩm cách sân bay 200m vị trí Hoa hậu 4.1x20. 4 Lầu mới. Nguyễn văn Vĩnh.P4 Tân Bình,17 tỷ,82 m²,"207,32 tr/m²",6 Phòng ngủ,7 WC,"Tân Bình, Hồ Chí Minh"
"Hạ chào 800 trđ để bán nhanh căn nhà 5 tầng tại phố Định Công, oto vào tận nhà, MT 4.15m, nở hậu","11,7 tỷ",51 m²,"229,41 tr/m²",4 Phòng ngủ,4 WC,"Hoàng Mai, Hà Nội"
"CHÍNH CHỦ BÁN NHÀ VŨ ĐỨC THẬN, LÔ GÓC 40M x 6 TẦNG Ô TÔ VÀO TẬN NHÀ","8,5 tỷ",40 m²,"212,5 tr/m²",3 Phòng ngủ,3 WC,"Long Biên, Hà Nội"
Nhà rẻ - Nguyễn Ngọc Nhựt - Tân Phú - 53m2 - 2 tầng - 2PN - sổ vuông - Giá 4.85 tỷ bớt lộc,"4,85 tỷ",53 m²,"91,51 tr/m²",2 Phòng ngủ,2 WC,"Tân Phú, Hồ Chí Minh"
Chính chủ - Tam Trinh - thang máy - view hồ - mới kinh koong,14 tỷ,70 m²,200 tr/m²,6 Phòng ngủ,7 WC,"Hoàng Mai, Hà Nội"
"Cần bán gấp toà nhà căn hộ cho thuê. 145/12A Nguyễn Đình Chính, P11, Phú Nhuận. Giá giảm 31 tỷ(TL)",31 tỷ,"90,2 m²","343,68 tr/m²",14 Phòng ngủ,16 WC,"Phú Nhuận, Hồ Chí Minh"
SIÊU PHẨM NHÀ PHỐ HẺM XE HƠI MỘT TRỤC THÔNG LÊ ĐỨ THỌ P15 GÒ VẤP,"9,5 tỷ",100 m²,95 tr/m²,5 Phòng ngủ,6 WC,"Gò Vấp, Hồ Chí Minh"
Chủ cần bán gấp nhà mặt phố Vũ Tông Phan dt 130m2 lô góc_giá 308tr/m2,"40,04 tỷ",130 m²,308 tr/m²,6 Phòng ngủ,6 WC,"Thanh Xuân, Hà Nội"
Siêu phẩm nhà phố KDC Vạn Xuân Tam Bình 1 trệt 2 lầu + phòng thờ xách vali vào ở ngay!,"9,5 tỷ","143,9 m²","66,02 tr/m²",4 Phòng ngủ,5 WC,"Thủ Đức, Hồ Chí Minh"
DUY NHẤT 1 CĂN! - TÔ HIỆU 1/ - NHÀ 2 TẦNG - HXH 8M - SÁT ĐẦM SEN - GIÁP Q11 - XÂY DỰNG FULL 4 TẦNG,"4,15 tỷ",40 m²,"103,75 tr/m²",3 Phòng ngủ,2 WC,"Tân Phú, Hồ Chí Minh"
"Hàng đã tuyệt chủng. Chỉ 9 tỷ. Ngọc Thuỵ 45m2 x 6 tầng thang máy, ngõ thông ô tô tránh",9 tỷ,45 m²,200 tr/m²,,,"Long Biên, Hà Nội"
Lộc! Lộc! Lộc! Vừa xây xong nhà thì mua được biệt thự chính chủ bán nhà rất lộc để chuyển về BT,"6,6 tỷ","41,6 m²","158,65 tr/m²",3 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
Chính chủ bán nhà Nguyên Hồng quận Đống Đa 66m2 4tầng MT5.5m-Ô tô tránh vỉa hè kinh doanh cực đẹp,"26,9 tỷ",66 m²,"407,58 tr/m²",5 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
"Chính Chủ Bán Nhà Mới 5 Tầng Phố Nguyễn Khả Trạc, Cầu Giấy 32m2","7,7 tỷ",32 m²,"240,62 tr/m²",4 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
"Bán nhà riêng 57m2, 3,9 tỷ tại Ấp Chiến Lược, Bình Hưng Hòa A, Bình Tân, HCM đẹp, nhiều tiện ích","3,9 tỷ",57 m²,"68,42 tr/m²",2 Phòng ngủ,1 WC,"Bình Tân, Hồ Chí Minh"
"Có 102! Bán nhà phố Trung Kính, lô góc, 2 thoáng, ô tô tránh, TM, KD cực đỉnh 65m2*6T, MT 5.5m","23,5 tỷ",65 m²,"361,54 tr/m²",4 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
NHÀ NGUYÊN CĂN 4 TẦNG CẦN BÁN TẠI THỤY PHƯƠNG-BẮC TỪ LIÊM-CHÍNH CHỦ BÁN THIỆN CHÍ-0563 496 ***,"10,5 tỷ",35 m²,300 tr/m²,4 Phòng ngủ,4 WC,"Bắc Từ Liêm, Hà Nội"
"Nhà 3 tầng mới xây, nhỉnh 3 tỷ gần bến xe Yên Nghĩa - Hà Đông - sổ đỏ tên tôi","3,49 tỷ",63 m²,"55,4 tr/m²",4 Phòng ngủ,3 WC,"Chương Mỹ, Hà Nội"
"Phạm Văn Đồng(Cầu Giấy).Nhà đẹp ở luôn, ngõ nông, thông 40m ô tô đỗ: 32/48m2T2x4 tầng, MT:3.5m, 9tỷ",9 tỷ,48 m²,"187,5 tr/m²",4 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
"Cần Bán Nhanh Nhà 2 tầng, Diện Tích 89,2m2, Đường Trần Bích San, Q.Liên Chiểu, Giá 4,43 Tỷ (TLCC)","4,43 tỷ","89,2 m²","49,66 tr/m²",3 Phòng ngủ,1 WC,"Liên Chiểu, Đà Nẵng"
"Bán nhà nở hậu hẻm 373 Lý Thường Kiệt, Tân Bình, 33,4m2, chỉ nhỉnh 3 tỷ.","3,7 tỷ","33,4 m²","110,78 tr/m²",2 Phòng ngủ,2 WC,"Tân Bình, Hồ Chí Minh"
Nhỉnh 5 tỷ sở hữu nhà mặt tiền đường ô tô đỗ cửa full nội thất tại Phường 3 Trung tâm Quận Gò Vấp,"5,4 tỷ",50 m²,108 tr/m²,3 Phòng ngủ,,"Gò Vấp, Hồ Chí Minh"
Chỉ hơn 4 tỷ có nhà DT khủng gần 60m2 tại Gò Vấp,"4,55 tỷ","55,6 m²","81,83 tr/m²",3 Phòng ngủ,2 WC,"Gò Vấp, Hồ Chí Minh"
Bán nhà cấp 4 chính chủ. full thổ cư 211.7m2,"3,95 tỷ","211,7 m²","18,66 tr/m²",2 Phòng ngủ,1 WC,"Biên Hòa, Đồng Nai"
VỊ TRÍ 1 XẸC THIẾT KẾ SIÊU ĐẸP VỪA Ở MỞ VP CTY SPA VV .. Siêu Phẩm Smart Home Điều khiển từ xa,"8,5 tỷ",48 m²,"177,08 tr/m²",4 Phòng ngủ,5 WC,"Gò Vấp, Hồ Chí Minh"
Hoa hồng 2% gửi ae môi giới. Bán nhà kho 180m2 đường Tam Châu Phường Tam Bình Thủ Đức,10 tỷ,180 m²,"55,56 tr/m²",2 Phòng ngủ,2 WC,"Thủ Đức, Hồ Chí Minh"
"TRẠI CÁ nhà đẹp mới tinh,ở ngay,trung tâm HAI BÀ TRƯNG","7,7 tỷ",31 m²,"248,39 tr/m²",3 Phòng ngủ,4 WC,"Hai Bà Trưng, Hà Nội"
"CẦN BÁN GẤP Nhà phố Thạch Bàn, gần chợ Thạch Bàn, 5,5 tầng, DT 48,5m2, MT 4,55m, 3PN, có thang máy","8,3 tỷ","48,5 m²","171,13 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán nhà đất tại Văn Cao, Tây Hồ giá chỉ 11,7 tỷ, 30,2m2, nhiều tiện ích, kinh doanh sầm uất","11,7 tỷ","30,2 m²","387,42 tr/m²",,,"Tây Hồ, Hà Nội"
BÁN NHÀ TƯ ĐÌNH 64M x 5 TẦNG Ô TÔ VÀO NHÀ GIÁ NHỈNH 16 TỶ,"16,6 tỷ",64 m²,"259,38 tr/m²",4 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán nhà Hồ Đầm Tròn 135 Đội Cấn, sát Lăng Bác, công viên Bách Thảo nhà mới tinh xem là chốt ngay!","7,99 tỷ",35 m²,"228,29 tr/m²",4 Phòng ngủ,3 WC,"Ba Đình, Hà Nội"
"Chính chủ gửi bán gấp nhà, đường Dương Đình Hội, Phước Long B, TP. Thủ Đức, 4,2 x 16, 4,7 tỷ, SH","4,7 tỷ",67 m²,"70,15 tr/m²",2 Phòng ngủ,1 WC,"Quận 9, Hồ Chí Minh"
Nhà đẹp - sát Nguyễn Sơn - Tân Phú - gần 40m2 (ngang 4.1) - 1 Tầng - 2 PN - Sổ Vuông - Giá 4.2 tỷ,"4,2 tỷ",40 m²,105 tr/m²,2 Phòng ngủ,2 WC,"Tân Phú, Hồ Chí Minh"
"Hạ sốc 3 tỷ! 125m2x7T thang máy, gara 2 ôtô - MT 6m - siêu dòng tiền 1 tỷ/năm Ngọc Thụy Long Biên","26,5 tỷ",125 m²,212 tr/m²,8 Phòng ngủ,,"Long Biên, Hà Nội"
"Nhà đẹp ở ngay, chính chủ bán 2 tài sản, công chứng liền tay, Bàu Cát Ba Vân Âu Cơ 1 tỷ 460 triệu","1,46 tỷ",12 m²,"121,67 tr/m²",,,"Tân Bình, Hồ Chí Minh"
Quận 3 Nhà Có dòng tiền ổn định giá tốt HXH 5 Tầng 8pn,"13,5 tỷ",75 m²,180 tr/m²,8 Phòng ngủ,9 WC,"Quận 3, Hồ Chí Minh"
"Siêu đẹp! Bán nhà Hoàng Quốc Việt, cầu Giấy, đường oto tránh, gara oto, 2 mặt thoáng, 68m, 5T",24 tỷ,68 m²,"352,94 tr/m²",6 Phòng ngủ,6 WC,"Cầu Giấy, Hà Nội"
"Chính chủ cần bán nhà ở khu tái định cư Phú Diễn, Bắc Từ Liêm, Hà Nội, DT 93,0m2, giá 42 tỷ",42 tỷ,93 m²,"451,61 tr/m²",,,"Bắc Từ Liêm, Hà Nội"
Bán nhà 1 trệt 1 lầu tại hẻm Nguyễn Biển phường vĩnh Hải ngang 7 m9 diện tích 156 m giá 55 tr/ m2,"8,6 tỷ","156,2 m²","55,06 tr/m²",3 Phòng ngủ,3 WC,"Nha Trang, Khánh Hòa"
"Bán Nhà và cho thuê 443/22 Lê Văn Sỹ, Q3, DT 3,8x12m nhà 1 lầu giá thuê 22 tr/th, giá bán 10,5 tỷ","10,5 tỷ",50 m²,210 tr/m²,,,"Quận 3, Hồ Chí Minh"
"Bán nhà riêng chính chủ tại Hà Bổng, Sơn Trà, Đà Nẵng, 96m2. 6,5 tỷ","6,6 tỷ",96 m²,"68,75 tr/m²",3 Phòng ngủ,2 WC,"Sơn Trà, Đà Nẵng"
"Bán nhà 17 ngõ 63 Lương Yên, P Bạch Đằng, Hai Bà Trưng, mặt phố kinh doanh","7,8 tỷ",25 m²,312 tr/m²,3 Phòng ngủ,3 WC,"Hai Bà Trưng, Hà Nội"
"CHÍNH CHỦ BÁN NHÀ NGÕ 99 NGUYỄN CHÍ THANH, Ô TÔ TRÁNH, ĐỖ TRONG NHÀ, CÓ GARA, 6 TẦNG, 10 PHÒNG NGỦ","17,95 tỷ",40 m²,"448,75 tr/m²",10 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
HẺM XE HƠI NGUYỄN TRI PHƯƠNG - 3 TẦNG 46M2 NỞ HẬU TÀI LỘC HIẾM CÓ TRÊN THỊ TRƯỜNG NHỈNH 10 TỶ,"10,5 tỷ",46 m²,"228,26 tr/m²",3 Phòng ngủ,3 WC,"Quận 10, Hồ Chí Minh"
"Bán nhà 2 mặt tiền hẻm 2m Phạm Thế Hiển P6, Q8 giá 6,5 tỷ","6,5 tỷ","289,7 m²","22,44 tr/m²",8 Phòng ngủ,8 WC,"Quận 8, Hồ Chí Minh"
"Gấp trả nợ ngân hàng bán cắt lỗ nhà hàng tại Bãi Cháy, Hạ Long đang cho thuê 35tr/th","20,9 tỷ",180 m²,"116,11 tr/m²",,,"Hạ Long, Quảng Ninh"
"Nhà đẹp kiên cố 5 tầng, hẻm rộng thoáng, diện tích 82m2, Lý Thường Kiệt, Tân Bình, giá tốt 16,5 tỷ.","16,5 tỷ",80 m²,"206,25 tr/m²",5 Phòng ngủ,5 WC,"Tân Bình, Hồ Chí Minh"
Chính chủ cần bán nhà dạng biệt thự HXM Võ Thị Sáu Quận 3. DT 399m2. Đầy đủ nội thất,45 tỷ,399 m²,"112,78 tr/m²",7 Phòng ngủ,7 WC,"Quận 3, Hồ Chí Minh"
Phố Thọ Lão - Lò Đúc - ôtô đỗ cửa 24/7 - 30m2 - tập thể tầng 1 kinh doanh - cho thuê 10tr - SĐCC,"3,95 tỷ",30 m²,"131,67 tr/m²",1 Phòng ngủ,1 WC,"Hai Bà Trưng, Hà Nội"
"Bán NR 2 tầng tại Đường 6, Hiệp Bình Phước, Thủ Đức, 6,8 tỷ, 96,8m2, Hot!","6,8 tỷ","96,8 m²","70,25 tr/m²",,,"Thủ Đức, Hồ Chí Minh"
"Bán nhà ngã 3 Hào Nam - Hoàng Cầu nhà ngõ nông, hai mặt thoáng, sân để 10 xe, nhà xây tâm huyết đẹp","7,7 tỷ",50 m²,154 tr/m²,3 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"Siêu sao! Phân lô Nguyên Hồng, view sân chơi, ô tô tránh dừng đỗ, 8T thang máy, kinh doanh đỉnh nóc","19,8 tỷ",60 m²,330 tr/m²,8 Phòng ngủ,7 WC,"Đống Đa, Hà Nội"
"Bán nhà mặt phố ôtô tránh + mặt ngõ ôtô, Bờ Sông Sét, Giáp Nhị, Hoàng Mai, DT: 25m2, MT 4m, 1.25 tỷ","1,25 tỷ",25 m²,50 tr/m²,2 Phòng ngủ,1 WC,"Hoàng Mai, Hà Nội"
"Bán nhà cho thuê dòng tiền ổn định Ngã Tư Sở, Thanh Xuân 18,8 tỷ","18,8 tỷ",70 m²,"268,57 tr/m²",21 Phòng ngủ,21 WC,"Thanh Xuân, Hà Nội"
Bán tòa CCMN Mễ Trì Thượng 62m2 x 8 tầng - 13 căn hộ 1PK 1N-30m ra đường ô to| Dòng tiền 80tr/tháng,"13,89 tỷ",60 m²,"231,5 tr/m²",13 Phòng ngủ,13 WC,"Nam Từ Liêm, Hà Nội"
Tuyệt phẩm đẹp lung linh 3 lầu (4mx12m=48m2 vuông vức) mới 100% hẻm xe hơi khu VIP Hồ Xuân Hương,"9,95 tỷ",48 m²,"207,29 tr/m²",5 Phòng ngủ,4 WC,"Bình Thạnh, Hồ Chí Minh"
Dãy nhà phố cực đẹp ngay cổng Vạn Phúc City - đường 10 mét có vỉa hè,7 tỷ,80 m²,"87,5 tr/m²",6 Phòng ngủ,6 WC,"Thủ Đức, Hồ Chí Minh"
"Bán căn góc 7 tầng tại Yên Lãng, Đống Đa. DT 56.7m2 x MT 10m. Thông sàn, gara ô tô - thang máy","29,5 tỷ","56,7 m²","520,28 tr/m²",4 Phòng ngủ,6 WC,"Đống Đa, Hà Nội"
"HOT! LÁNG HẠ ĐỐNG ĐA, PHÂN LÔ GARA Ô TÔ, KINH DOANH, 7 TẦNG THANG MÁY 50M2*7T*4M MT","17,2 tỷ",50 m²,344 tr/m²,3 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
Chính chủ bán gấp căn Đội Cấn 6 tầng thang máy ngõ nông tại trung tâm quận Ba Đình miễn tiếp MG,"7,4 tỷ",40 m²,185 tr/m²,4 Phòng ngủ,5 WC,"Ba Đình, Hà Nội"
"2 MT Nhà Hẻm 10m P.Bến Nghé Quận 1 Đường Nguyễn Bỉnh Khiêm - DT: 5x20m CN:98m2 Giá 33,5 Tỷ","33,5 tỷ",98 m²,"341,84 tr/m²",3 Phòng ngủ,3 WC,"Quận 1, Hồ Chí Minh"
"12tỷ9 TL Nhà 5 lầu 73,8m2 căn góc 2MT HXH 6m 7PN, địa chỉ 159/45 Đ. Bạch Đằng, P2, Q. Tân Bình","12,9 tỷ","73,8 m²","174,8 tr/m²",7 Phòng ngủ,7 WC,"Tân Bình, Hồ Chí Minh"
"Bán NR tại Ni Sư Huỳnh Liên, 5,8 tỷ, 63m2, hàng hot uy tín","5,8 tỷ",63 m²,"92,06 tr/m²",,,"Tân Bình, Hồ Chí Minh"
"Bán nhà 7 tầng thang máy - khu phân lô quân đội 918, cạnh sân golf Long Biên, 50m2. Lô góc, vỉa hè","16,3 tỷ",50 m²,326 tr/m²,5 Phòng ngủ,,"Long Biên, Hà Nội"
Bán nhà đẹp mới xây 4 tầng Quận 2 Thảo Điền yên tĩnh nghỉ dưỡng,26 tỷ,117 m²,"222,22 tr/m²",6 Phòng ngủ,6 WC,"Quận 2, Hồ Chí Minh"
"Chính chủ giảm giá sâu bán nhà riêng, sân để xe 7 chỗ, sổ hồng, hẻm xe tải, LH 0981 932 ***","6,15 tỷ",101 m²,"60,89 tr/m²",4 Phòng ngủ,4 WC,"Thủ Đức, Hồ Chí Minh"
"Chính chủ bán nhà 2.5 tầng kiên cố tại Ngự Câu, An Thượng, Hoài Đức, Hà Nội gần KĐT, giá chỉ 1.9 tỷ","1,9 tỷ",83 m²,"22,89 tr/m²",2 Phòng ngủ,2 WC,"Hoài Đức, Hà Nội"
"BÁN NHÀ NGỌC LÂM, NHÀ MỚI LÔ GÓC, 1 NHÀ RA PHỐ, 40M2, 7,9TỶ","7,9 tỷ",40 m²,"197,5 tr/m²",,,"Long Biên, Hà Nội"
"Chính chủ cần bán nhà 2 tầng 50m2 thoáng đẹp tại An Khê khu vực sầm uất Thanh Khê, Đà Nẵng","2,35 tỷ",50 m²,47 tr/m²,2 Phòng ngủ,2 WC,"Thanh Khê, Đà Nẵng"
Bán nhà 3 Tầng 123/87 Cù Chính Lan ( Đi 282 Hà Huy Tập vào ) Quận Thanh Khê Đà Nẵng,"5,95 tỷ",70 m²,85 tr/m²,3 Phòng ngủ,4 WC,"Thanh Khê, Đà Nẵng"
"Bán nhà chính chủ tại đường Phan Đình Giót, Thanh Xuân 48m2, cho thuê 65 triệu/th, giá chỉ 11.65 tỷ","11,65 tỷ",48 m²,"242,71 tr/m²",10 Phòng ngủ,,"Thanh Xuân, Hà Nội"
"Bán nhà phố Trần Thái Tông, Trương Công Giai, kinh doanh, 3 ô tô tránh, lô góc, vỉa hè. 55m2*6T",21 tỷ,56 m²,375 tr/m²,6 Phòng ngủ,6 WC,"Cầu Giấy, Hà Nội"
CHÍNH CHỦ CẦN BÁN NHÀ PHỐ TÂN BÌNH - CHỈ BÁN CHO NGƯỜI Ở THỰC,"6,7 tỷ","54,88 m²","122,08 tr/m²",1 Phòng ngủ,2 WC,"Tân Bình, Hồ Chí Minh"
"Bán nhà đường Số 3, P. Bình Hưng Hòa gần Aeon Tân Phú (1 trệt, 1 lầu), DT đất: 88m2","5,65 tỷ",88 m²,"64,2 tr/m²",4 Phòng ngủ,2 WC,"Bình Tân, Hồ Chí Minh"
Bán nhà ngõ 221 phố Tôn Đức Thắng quận Đống Đa. Ngõ ô tô rất gần phố nhà dân xây sổ đỏ giá tốt,"6,34 tỷ",24 m²,"264,17 tr/m²",3 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"Siêu phẩm nhà VIP Hương Lộ 2, thang máy 450kg, 5 tầng, 4x20m, hẻm đẹp 6m, cách ngã 4 xã chỉ 1km","8,15 tỷ",80 m²,"101,88 tr/m²",6 Phòng ngủ,5 WC,"Bình Tân, Hồ Chí Minh"
"Chủ cần bán gấp nên hạ chào hơn 2 tỷ cho căn nhà ngõ kinh doanh ô tô tránh, DT 50m2, 3T, MT 4,6m","19,38 tỷ",50 m²,"387,6 tr/m²",4 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
Bán nhà 6 tầng Thạch Bàn - Long Biên nhỉnh 5 tỷ,"5,7 tỷ",34 m²,"167,65 tr/m²",4 Phòng ngủ,,"Long Biên, Hà Nội"
"BÁN NHÀ LIÊN PHƯỜNG, 3 TẦNG, GÓC 3 MẶT TIỀN, 83,3m2 SỔ HỒNG. GẦN GLOBAL CITY TP.THỦ ĐỨC","8,3 tỷ","83,3 m²","99,64 tr/m²",5 Phòng ngủ,3 WC,"Quận 9, Hồ Chí Minh"
"Bán nhà Vạn Phúc, DT 40m x 5 tầng thang máy, oto vào nhà, 2 mặt thoáng, ngay khu Him Lam Vạn Phúc",10 tỷ,40 m²,250 tr/m²,,,"Hà Đông, Hà Nội"
