TieuDe,Gia,DienTich,GiaTrenM2,PhongNgu,WC,Quan,TinhThanh
"Có 102! Bán nhà ph? Trung Kính, lô góc, 2 thoáng, ô tô tránh, TM, KD c?c d?nh 65m2*6T, MT 5.5m",23.5,65,361.54,4,4,C?u Gi?y,Hà N?i
NHÀ NGUYÊN CAN 4 T?NG C?N BÁN T?I TH?Y PHUONG-B?C T? LIÊM-CHÍNH CH? BÁN THI?N CHÍ-0563 496 ***,10.5,35,300,4,4,B?c T? Liêm,Hà N?i
"Nhà 3 t?ng m?i xây, nh?nh 3 t? g?n b?n xe Yên Nghia - Hà Ðông - s? d? tên tôi",3.49,63,55.4,4,3,Chuong M?,Hà N?i
"Ph?m Van Ð?ng(C?u Gi?y).Nhà d?p ? luôn, ngõ nông, thông 40m ô tô d?: 32/48m2T2x4 t?ng, MT:3.5m, 9t?",9,48,187.5,4,3,C?u Gi?y,Hà N?i
"C?n Bán Nhanh Nhà 2 t?ng, Di?n Tích 89,2m2, Ðu?ng Tr?n Bích San, Q.Liên Chi?u, Giá 4,43 T? (TLCC)",4.43,89.2,49.66,3,1,Liên Chi?u,Ðà N?ng
"Bán nhà n? h?u h?m 373 Lý Thu?ng Ki?t, Tân Bình, 33,4m2, ch? nh?nh 3 t?.",3.7,33.4,110.78,2,2,Tân Bình,H? Chí Minh
Nh?nh 5 t? s? h?u nhà m?t ti?n du?ng ô tô d? c?a full n?i th?t t?i Phu?ng 3 Trung tâm Qu?n Gò V?p,5.4,50,108,3,,Gò V?p,H? Chí Minh
Ch? hon 4 t? có nhà DT kh?ng g?n 60m2 t?i Gò V?p,4.55,55.6,81.83,3,2,Gò V?p,H? Chí Minh
Bán nhà c?p 4 chính ch?. full th? cu 211.7m2,3.95,211.7,18.66,2,1,Biên Hòa,Ð?ng Nai
V? TRÍ 1 X?C THI?T K? SIÊU Ð?P V?A ? M? VP CTY SPA VV .. Siêu Ph?m Smart Home Ði?u khi?n t? xa,8.5,48,177.08,4,5,Gò V?p,H? Chí Minh
Hoa h?ng 2% g?i ae môi gi?i. Bán nhà kho 180m2 du?ng Tam Châu Phu?ng Tam Bình Th? Ð?c,10,180,55.56,2,2,Th? Ð?c,H? Chí Minh
"TR?I CÁ nhà d?p m?i tinh,? ngay,trung tâm HAI BÀ TRUNG",7.7,31,248.39,3,4,Hai Bà Trung,Hà N?i
"C?N BÁN G?P Nhà ph? Th?ch Bàn, g?n ch? Th?ch Bàn, 5,5 t?ng, DT 48,5m2, MT 4,55m, 3PN, có thang máy",8.3,48.5,171.13,3,4,Long Biên,Hà N?i
"Bán nhà d?t t?i Van Cao, Tây H? giá ch? 11,7 t?, 30,2m2, nhi?u ti?n ích, kinh doanh s?m u?t",11.7,30.2,387.42,,,Tây H?,Hà N?i
BÁN NHÀ TU ÐÌNH 64M x 5 T?NG Ô TÔ VÀO NHÀ GIÁ NH?NH 16 T?,16.6,64,259.38,4,4,Long Biên,Hà N?i
"Bán nhà H? Ð?m Tròn 135 Ð?i C?n, sát Lang Bác, công viên Bách Th?o nhà m?i tinh xem là ch?t ngay!",7.99,35,228.29,4,3,Ba Ðình,Hà N?i
"Chính ch? g?i bán g?p nhà, du?ng Duong Ðình H?i, Phu?c Long B, TP. Th? Ð?c, 4,2 x 16, 4,7 t?, SH",4.7,67,70.15,2,1,Qu?n 9,H? Chí Minh
Nhà d?p - sát Nguy?n Son - Tân Phú - g?n 40m2 (ngang 4.1) - 1 T?ng - 2 PN - S? Vuông - Giá 4.2 t?,4.2,40,105,2,2,Tân Phú,H? Chí Minh
"H? s?c 3 t?! 125m2x7T thang máy, gara 2 ôtô - MT 6m - siêu dòng ti?n 1 t?/nam Ng?c Th?y Long Biên",26.5,125,212,8,,Long Biên,Hà N?i
"Nhà d?p ? ngay, chính ch? bán 2 tài s?n, công ch?ng li?n tay, Bàu Cát Ba Vân Âu Co 1 t? 460 tri?u",1.46,12,121.67,,,Tân Bình,H? Chí Minh
Qu?n 3 Nhà Có dòng ti?n ?n d?nh giá t?t HXH 5 T?ng 8pn,13.5,75,180,8,9,Qu?n 3,H? Chí Minh
"Siêu d?p! Bán nhà Hoàng Qu?c Vi?t, c?u Gi?y, du?ng oto tránh, gara oto, 2 m?t thoáng, 68m, 5T",24,68,352.94,6,6,C?u Gi?y,Hà N?i
"Chính ch? c?n bán nhà ? khu tái d?nh cu Phú Di?n, B?c T? Liêm, Hà N?i, DT 93,0m2, giá 42 t?",42,93,451.61,,,B?c T? Liêm,Hà N?i
Bán nhà 1 tr?t 1 l?u t?i h?m Nguy?n Bi?n phu?ng vinh H?i ngang 7 m9 di?n tích 156 m giá 55 tr/ m2,8.6,156.2,55.06,3,3,Nha Trang,Khánh Hòa
"Bán Nhà và cho thuê 443/22 Lê Van S?, Q3, DT 3,8x12m nhà 1 l?u giá thuê 22 tr/th, giá bán 10,5 t?",10.5,50,210,,,Qu?n 3,H? Chí Minh
"Bán nhà riêng chính ch? t?i Hà B?ng, Son Trà, Ðà N?ng, 96m2. 6,5 t?",6.6,96,68.75,3,2,Son Trà,Ðà N?ng
"Bán nhà 17 ngõ 63 Luong Yên, P B?ch Ð?ng, Hai Bà Trung, m?t ph? kinh doanh",7.8,25,312,3,3,Hai Bà Trung,Hà N?i
"CHÍNH CH? BÁN NHÀ NGÕ 99 NGUY?N CHÍ THANH, Ô TÔ TRÁNH, Ð? TRONG NHÀ, CÓ GARA, 6 T?NG, 10 PHÒNG NG?",17.95,40,448.75,10,5,Ð?ng Ða,Hà N?i
H?M XE HOI NGUY?N TRI PHUONG - 3 T?NG 46M2 N? H?U TÀI L?C HI?M CÓ TRÊN TH? TRU?NG NH?NH 10 T?,10.5,46,228.26,3,3,Qu?n 10,H? Chí Minh
"Bán nhà 2 m?t ti?n h?m 2m Ph?m Th? Hi?n P6, Q8 giá 6,5 t?",6.5,289.7,22.44,8,8,Qu?n 8,H? Chí Minh
"G?p tr? n? ngân hàng bán c?t l? nhà hàng t?i Bãi Cháy, H? Long dang cho thuê 35tr/th",20.9,180,116.11,,,H? Long,Qu?ng Ninh
"Nhà d?p kiên c? 5 t?ng, h?m r?ng thoáng, di?n tích 82m2, Lý Thu?ng Ki?t, Tân Bình, giá t?t 16,5 t?.",16.5,80,206.25,5,5,Tân Bình,H? Chí Minh
Chính ch? c?n bán nhà d?ng bi?t th? HXM Võ Th? Sáu Qu?n 3. DT 399m2. Ð?y d? n?i th?t,45,399,112.78,7,7,Qu?n 3,H? Chí Minh
Ph? Th? Lão - Lò Ðúc - ôtô d? c?a 24/7 - 30m2 - t?p th? t?ng 1 kinh doanh - cho thuê 10tr - SÐCC,3.95,30,131.67,1,1,Hai Bà Trung,Hà N?i
"Bán NR 2 t?ng t?i Ðu?ng 6, Hi?p Bình Phu?c, Th? Ð?c, 6,8 t?, 96,8m2, Hot!",6.8,96.8,70.25,,,Th? Ð?c,H? Chí Minh
"Bán nhà ngã 3 Hào Nam - Hoàng C?u nhà ngõ nông, hai m?t thoáng, sân d? 10 xe, nhà xây tâm huy?t d?p",7.7,50,154,3,3,Ð?ng Ða,Hà N?i
"Siêu sao! Phân lô Nguyên H?ng, view sân choi, ô tô tránh d?ng d?, 8T thang máy, kinh doanh d?nh nóc",19.8,60,330,8,7,Ð?ng Ða,Hà N?i
"Bán nhà m?t ph? ôtô tránh + m?t ngõ ôtô, B? Sông Sét, Giáp Nh?, Hoàng Mai, DT: 25m2, MT 4m, 1.25 t?",1.25,25,50,2,1,Hoàng Mai,Hà N?i
"Bán nhà cho thuê dòng ti?n ?n d?nh Ngã Tu S?, Thanh Xuân 18,8 t?",18.8,70,268.57,21,21,Thanh Xuân,Hà N?i
Bán tòa CCMN M? Trì Thu?ng 62m2 x 8 t?ng - 13 can h? 1PK 1N-30m ra du?ng ô to| Dòng ti?n 80tr/tháng,13.89,60,231.5,13,13,Nam T? Liêm,Hà N?i
Tuy?t ph?m d?p lung linh 3 l?u (4mx12m=48m2 vuông v?c) m?i 100% h?m xe hoi khu VIP H? Xuân Huong,9.95,48,207.29,5,4,Bình Th?nh,H? Chí Minh
Dãy nhà ph? c?c d?p ngay c?ng V?n Phúc City - du?ng 10 mét có v?a hè,7,80,87.5,6,6,Th? Ð?c,H? Chí Minh
"Bán can góc 7 t?ng t?i Yên Lãng, Ð?ng Ða. DT 56.7m2 x MT 10m. Thông sàn, gara ô tô - thang máy",29.5,56.7,520.28,4,6,Ð?ng Ða,Hà N?i
"HOT! LÁNG H? Ð?NG ÐA, PHÂN LÔ GARA Ô TÔ, KINH DOANH, 7 T?NG THANG MÁY 50M2*7T*4M MT",17.2,50,344,3,4,Ð?ng Ða,Hà N?i
Chính ch? bán g?p can Ð?i C?n 6 t?ng thang máy ngõ nông t?i trung tâm qu?n Ba Ðình mi?n ti?p MG,7.4,40,185,4,5,Ba Ðình,Hà N?i
"2 MT Nhà H?m 10m P.B?n Nghé Qu?n 1 Ðu?ng Nguy?n B?nh Khiêm - DT: 5x20m CN:98m2 Giá 33,5 T?",33.5,98,341.84,3,3,Qu?n 1,H? Chí Minh
"12t?9 TL Nhà 5 l?u 73,8m2 can góc 2MT HXH 6m 7PN, d?a ch? 159/45 Ð. B?ch Ð?ng, P2, Q. Tân Bình",12.9,73.8,174.8,7,7,Tân Bình,H? Chí Minh
"Bán NR t?i Ni Su Hu?nh Liên, 5,8 t?, 63m2, hàng hot uy tín",5.8,63,92.06,,,Tân Bình,H? Chí Minh
"Bán nhà 7 t?ng thang máy - khu phân lô quân d?i 918, c?nh sân golf Long Biên, 50m2. Lô góc, v?a hè",16.3,50,326,5,,Long Biên,Hà N?i
Bán nhà d?p m?i xây 4 t?ng Qu?n 2 Th?o Ði?n yên tinh ngh? du?ng,26,117,222.22,6,6,Qu?n 2,H? Chí Minh
"Chính ch? gi?m giá sâu bán nhà riêng, sân d? xe 7 ch?, s? h?ng, h?m xe t?i, LH 0981 932 ***",6.15,101,60.89,4,4,Th? Ð?c,H? Chí Minh
"Chính ch? bán nhà 2.5 t?ng kiên c? t?i Ng? Câu, An Thu?ng, Hoài Ð?c, Hà N?i g?n KÐT, giá ch? 1.9 t?",1.9,83,22.89,2,2,Hoài Ð?c,Hà N?i
"BÁN NHÀ NG?C LÂM, NHÀ M?I LÔ GÓC, 1 NHÀ RA PH?, 40M2, 7,9T?",7.9,40,197.5,,,Long Biên,Hà N?i
"Chính ch? c?n bán nhà 2 t?ng 50m2 thoáng d?p t?i An Khê khu v?c s?m u?t Thanh Khê, Ðà N?ng",2.35,50,47,2,2,Thanh Khê,Ðà N?ng
Bán nhà 3 T?ng 123/87 Cù Chính Lan ( Ði 282 Hà Huy T?p vào ) Qu?n Thanh Khê Ðà N?ng,5.95,70,85,3,4,Thanh Khê,Ðà N?ng
"Bán nhà chính ch? t?i du?ng Phan Ðình Giót, Thanh Xuân 48m2, cho thuê 65 tri?u/th, giá ch? 11.65 t?",11.65,48,242.71,10,,Thanh Xuân,Hà N?i
"Bán nhà ph? Tr?n Thái Tông, Truong Công Giai, kinh doanh, 3 ô tô tránh, lô góc, v?a hè. 55m2*6T",21,56,375,6,6,C?u Gi?y,Hà N?i
CHÍNH CH? C?N BÁN NHÀ PH? TÂN BÌNH - CH? BÁN CHO NGU?I ? TH?C,6.7,54.88,122.08,1,2,Tân Bình,H? Chí Minh
"Bán nhà du?ng S? 3, P. Bình Hung Hòa g?n Aeon Tân Phú (1 tr?t, 1 l?u), DT d?t: 88m2",5.65,88,64.2,4,2,Bình Tân,H? Chí Minh
Bán nhà ngõ 221 ph? Tôn Ð?c Th?ng qu?n Ð?ng Ða. Ngõ ô tô r?t g?n ph? nhà dân xây s? d? giá t?t,6.34,24,264.17,3,3,Ð?ng Ða,Hà N?i
"Siêu ph?m nhà VIP Huong L? 2, thang máy 450kg, 5 t?ng, 4x20m, h?m d?p 6m, cách ngã 4 xã ch? 1km",8.15,80,101.88,6,5,Bình Tân,H? Chí Minh
"Ch? c?n bán g?p nên h? chào hon 2 t? cho can nhà ngõ kinh doanh ô tô tránh, DT 50m2, 3T, MT 4,6m",19.38,50,387.6,4,3,C?u Gi?y,Hà N?i
Bán nhà 6 t?ng Th?ch Bàn - Long Biên nh?nh 5 t?,5.7,34,167.65,4,,Long Biên,Hà N?i
"BÁN NHÀ LIÊN PHU?NG, 3 T?NG, GÓC 3 M?T TI?N, 83,3m2 S? H?NG. G?N GLOBAL CITY TP.TH? Ð?C",8.3,83.3,99.64,5,3,Qu?n 9,H? Chí Minh
"Bán nhà V?n Phúc, DT 40m x 5 t?ng thang máy, oto vào nhà, 2 m?t thoáng, ngay khu Him Lam V?n Phúc",10,40,250,,,Hà Ðông,Hà N?i
"Bán r? nhà c?nh VinHomes Tp. Th? Ð?c, 102m2, s? h?ng, giá 2,9 t?",2.9,102,28.43,4,1,Qu?n 9,H? Chí Minh
"Bán Nhà 5 T?ng dòng ti?n c?c t?t ngang 5m, 80m2 Vu Tùng, Bình Th?nh, 45 tri?u/th, giá ch? 13,9 t?",13.9,80,173.75,9,,Bình Th?nh,H? Chí Minh
"Ð?p x?u! PL 34 Nguyên H?ng, ô tô tránh, v?a hè, sát ph?, kinh doanh, VP, ? ngon 71m2 * 5T x 5.5m MT",28,71,394.37,4,3,Ð?ng Ða,Hà N?i
Can nhà vu?n s?n h? cá. Giá m?m nhun,2.1,2,1.05,1,1,Tr?ng Bom,Ð?ng Nai
"T? Quang B?u+thang máy+22P khép kín full NT-PCCC d?t chu?n-doanh thu 150tr/th-DT 102m-MT 5,8m*24,7T",24.7,100,247,22,22,Hai Bà Trung,Hà N?i
"BÁN NHÀ GÓC 2 M?T TI?N H?M XE HOI NGUY?N VAN Ð?U, P11, BÌNH TH?NH GIÁ CH? 14.5 T? LH 0943 653 ***",14.5,108,134.26,5,7,Bình Th?nh,H? Chí Minh
CH? HON 5 T? MUA NHÀ M?I TINH HÀNG XÓM NG?C LÂM PH? - FULL N?I TH?T CAO C?P - 6 T?NG - OTO SÁT NHÀ,5.95,30,198.33,4,5,Long Biên,Hà N?i
"M?I TINH! H? BA M?U Ð?NG ÐA, 7 T?NG THANG MÁY, FULL N?I TH?T, NGÕ THÔNG, KD,38M*7T*3,6M MT",8.5,38,223.68,3,4,Ð?ng Ða,Hà N?i
Siêu r? bán nhà phân lô Ngã Tu S? v?a ? v?a làm VP 6 t?ng thang máy 63m x 7t gara oto 7 ch? 2 cái,18.8,63,298.41,7,5,Thanh Xuân,Hà N?i
"bán nhà m?i xây d?ng ,có t?ng n?i th?t ,DT 50m2/5ty5 2 l?u 1 tr?t, Nguy?n Th? Tí, s? h?ng riêng",5.4,50,108,4,3,Bình Tân,H? Chí Minh
"Bi?t th? thi?t k? tân c? di?n, full n?i th?t cao c?p xe hoi d? trong nhà khu VIP Ph?m Van Hai",11.5,63,182.54,4,5,Tân Bình,H? Chí Minh
"Bán CHDV t?i Bình Tr? Ðông, Bình Tân, d?u tu m?t l?n, thu l?i dài h?n 8%/nam, 50 phòng, 38 t?",38,350,108.57,50,50,Bình Tân,H? Chí Minh
Bán nhà riêng XVNT P26 Bình Th?nh Tp HCM. DT 68m2. DTSD 240m2,12.2,68,179.41,5,6,Bình Th?nh,H? Chí Minh
"Tôi c?n bán g?p nhà m?t ph? Lý Thu?ng Ki?t, Trung tâm Q. Hà Ðông 36m2, 9,9 t?. LH: 0944 223 ***",9.9,36,275,,,Hà Ðông,Hà N?i
"Bán nhà ph? H?ng Ti?n, DT 40m2 * m ti?n 4.65m * 6 t?ng thang máy, sau 1 nhà ra m?t ph? kinh doanh",8.95,40,223.75,3,5,Long Biên,Hà N?i
"Tuy?t ph?m d?p lung linh bi?t th? mini 3 l?u, sân thu?ng, 4 phòng ng? khu cao c?p Thích Qu?ng Ð?c",7.5,40,187.5,4,5,Phú Nhu?n,H? Chí Minh
"Bán nhà d?p 1 tr?t 2 l?u, h?m nh?a 6m Ngô Chí Qu?c, Bình Chi?u, Th? Ð?c 72m2 giá t?t",5.5,72,76.39,3,4,Th? Ð?c,H? Chí Minh
"Bán g?p can nhà Hoàng C?u ô tô d? c?a full n?i th?t nh?p kh?u , nhà 2 m?t ngõ 40m*5t v?a ? v?a KD",11.8,40,295,3,4,Ð?ng Ða,Hà N?i
"C?n nhà d?t 2 s? riêng t?i Th? D?u M?t 1.066m2 có nhà l?u + nhà c?p 4, m?t ti?n 18.5m, pháp lý ch",11.5,1.066,10.79,6,3,Th? D?u M?t,Bình Duong
"Bán nhà ngõ 68 C?u Gi?y 70m2, giá 12.99 t? dân xây ch?c ch?n 4 t?ng 50m ra m?t ph?",12.99,70,185.57,4,5,C?u Gi?y,Hà N?i
"CHDV 180m2 7 t?ng ngay Gi?i Phóng - m?t ph? 35 can h? khép kín - PCCC x?n, thoát hi?m d?y d?",36.5,180,202.78,35,35,Hoàng Mai,Hà N?i
"Chính ch? c?n bán bi?t th? di?n tích 736m2 t?i Ao Ðôi, Bình Tr? Ðông A, Bình Tân giá 55 t?",55,736,74.73,5,4,Bình Tân,H? Chí Minh
"Chính ch? c?n bán nhà riêng m?i xây 6 t?ng DT 52,5m2 full n?i th?t ? C? Nhu? 2, B?c T? Liêm, Hà N?i",12.8,52.5,243.81,6,,B?c T? Liêm,Hà N?i
"Hot.Nhà Góc 2 M?t ti?n, Hàng hi?m Ngang 9 m, dài 22 m Qu?n Phú Nhu?n,Di?n tích 192,9m2, 30 t?",30,200,150,4,3,Phú Nhu?n,H? Chí Minh
"Nhà chính ch? bán g?p - 25/5 Nguy?n H?u, P. Tân Thành, Q. Tân Phú, HCM, 8mx14m (4 l?u), giá 17,6 t?",17.6,112,157.14,6,6,Tân Phú,H? Chí Minh
Bán nhà riêng dân xây 80m2 khu v?c vip trung tâm C?u Gi?y,15,80,187.5,4,4,C?u Gi?y,Hà N?i
"Nhà c?p 4 1s?c Tr?n Thanh M?i 97m2 (5,3 x 18,2m) n? h?u 7,9m, 2PN, cách T?nh L? 10 200m. Giá 4,2 t?",4.2,97.3,43.16,2,1,Bình Tân,H? Chí Minh
"Hàng hi?m t?i Ph?ng Pháp, Q. Ngô Quy?n, HP, 68 tri?u / m2, 72m2",4.9,72,68,6,6,Ngô Quy?n,H?i Phòng
Nhà m?t ti?n du?ng l?n 120m2 - ngay trung tâm ch? - s? h?ng riêng - du?c tr? góp,,120,7.82,2,2,Bình Chánh,H? Chí Minh
"Bán Nhà Riêng K? Ngay KDC TÊN L?A, THANG MÁY 450KG, 80m2, FULL N?I TH?T CAO C?P - ÐU?NG NH?A 8M",8,80,100,5,6,Bình Tân,H? Chí Minh
"Bán nhà riêng t?i Hu?nh T?n Phát, Phú Thu?n, Q7, TP.HCM, giá uu dãi 7,2 t?, 57m2",7.2,57,126.32,5,5,Qu?n 7,H? Chí Minh
"Chính ch? c?n bán g?p gi?m s?c còn 7.3 t? nhà 45m2 x 3 t?ng t?i s? nhà 9 ngõ 6 Hà Trì 1, Hà Ðông",7.3,45,162.22,4,3,Hà Ðông,Hà N?i
"Bán nhà 1 tr?t 1 l?u du?ng M?u Thân, TP. C?n Tho, n?i th?t d?y d?",3.45,64.9,53.16,2,2,Ninh Ki?u,C?n Tho
"Chính ch? bán nhà c?p 4, lô góc 2 m?t h?m thông thoáng, thông ra du?ng Qu?c L? 6 ch? 200m",6.5,51.5,126.21,,,Hà Ðông,Hà N?i
"Chính ch? bán g?p nhà ph? Kim Mã, Ba Ðình, Hà N?i 5 t?ng full n?i th?t, s?n s? sang tên ngay",8.5,43,197.67,5,3,Ba Ðình,Hà N?i
"Chính ch? d?nh cu nu?c ngoài c?n bán g?p nhà s? 15 Phu?ng Bình An ,Thành ph? Th? Ð?c , pháp lý s?ch",35,168,208.33,4,5,Qu?n 2,H? Chí Minh
Bán Can Góc BT 10x18.5m KDC có b?o v? tru?c vòng xoay Liên Phu?ng cách Global City ch? 1 km,18,172.5,104.35,5,5,Qu?n 9,H? Chí Minh
"Bán nhà riêng t?i Ðu?ng 10, Qu?n 9, 7,6 t? VND, 103m2, uy tín ch? v?i",7.6,103,73.79,2,2,Qu?n 9,H? Chí Minh
"Bán Nhà Ð?i La 34m, 4 T, 4 PN , Full n?i th?t sang tr?ng. KH MUA nhà trong T5/2025 Thu?ng 1 VISION",7.5,34,220.59,4,4,Hai Bà Trung,Hà N?i
"Bán tòa nhà CCMN góc 3 thoáng trung tâm C?u Gi?y hon 20 tru?ng d?i h?c 16PN full, thang máy, ô tô",16.9,59,286.44,16,16,C?u Gi?y,Hà N?i
"Bán nhà 1 tr?t l?ng 1 l?u du?ng Cây Keo giá t?t, LH 0397 939 ***",5.8,52,111.54,3,3,Th? Ð?c,H? Chí Minh
"Chính ch? bán nhà trong ngõ 72, Tôn Th?t Tùng, Ð?ng Ða, Hà N?i",11.5,57.9,198.62,2,2,Ð?ng Ða,Hà N?i
"Bán nhà riêng t?i Ðu?ng Gi?i Phóng, 28 t?, 103.5m2, giá siêu h?i",28,103.5,270.53,2,2,Hoàng Mai,Hà N?i
"CHDV cao c?p ngay Nguy?n Gia Trí, c?nh Hutech, 5 t?m m?i xây + thang máy 11 phòng, 13,6 t? TL",13.6,72,188.89,11,11,Bình Th?nh,H? Chí Minh
"Gi?m xu?ng còn 8,08 t?, có k? ho?ch nên mu?n bán g?p, d?t s? d? 48.3m2 t?ng nhà 2 t?ng xây kiên c?",8.08,48.3,167.29,2,1,Thanh Trì,Hà N?i
"Chính ch? bán nhà 2 t?ng ngõ 88 Giáp Nh?, Th?nh Li?t, Hoàng Mai s? d? s?n sàng giao d?ch",11.3,88.5,127.68,,,Hoàng Mai,Hà N?i
Duy nh?t 1 can villa chính ch? lâu nam - lô góc h?m xe hoi thông,10.5,112.5,93.33,5,4,Bình Th?nh,H? Chí Minh
"Bán 10 can DT 30m, 32m, 36m, 38m, 42m2 t? 2,85t?, 3,35t?, 3,65t? 3,95?, 4t? ôtô d?, g?n BxYên Nghia",2.85,38,75,3,4,Hà Ðông,Hà N?i
"Nguy?n Son DT 84m2, MT 6 m-7 t?ng thang máy, -Thi?t k? DUPLEX hi?n d?i, c?c d?p, t?ng full n?i th?t",23.8,84,283.33,,,Long Biên,Hà N?i
"Bán nhà 7 t?ng ph? Ð?i C?n, xây m?i 2024, d?y d? PCCC và GPXD, dòng ti?n 70 tri?u/ tháng, Full NT",16.19,59,274.41,11,11,Ba Ðình,Hà N?i
"Do chuy?n công tác c?n bán nhà m?t ngõ, ph? Tôn Ð?c Th?ng-Ð?ng Ða, g?n ngay ph? 60m2, nh?nh 12 t?",12.8,60,213.33,4,4,Ð?ng Ða,Hà N?i
"Hàng hi?m! Bán nhà riêng xây CCMN Giáp Nh?t 80m² 8 t?ng MT 7,52m, 22 phòng doanh thu 100tr/tháng",18,80,225,22,,Thanh Xuân,Hà N?i
Siêu ph?m Kim Giang - Thanh Li?t - ngõ thông - kinh doanh - ô tô - dân xây 50m2 x 3 t?ng 1 tum,11.95,50,239,3,3,Thanh Trì,Hà N?i
PHÂN LÔ KIM NGUU 61M2 4 T?NG MT 5.2M Ô TÔ TRÁNH G?N H? GUOM CH? 12 T?,12,62,193.55,5,,Hai Bà Trung,Hà N?i
Bán Nhà HXH 5 t?ng 8PN du?ng Nguy?n Van Luông P12 Qu?n 6 giá còn 6.35 t?,6.35,55,115.46,8,8,Qu?n 6,H? Chí Minh
"Bán nhà ph? Nguy?n Van C? 102m2 4 t?ng, m?t ti?n 3.5m. Ô tô tránh vào nhà, ô tô tránh, giá t?t",16.5,102,161.76,5,2,Long Biên,Hà N?i
Bán nhà h?m xe hoi thông Tho?i Ng?c H?u Tân Phú 4x17m 4 t?ng giá 6.99 t?,6.99,66,105.91,3,3,Tân Phú,H? Chí Minh
